CBO,NOC,SLOC,Output
29,0,876,Precision
0,0,29,Precision
8,0,373,Precision
5,0,69,Precision
3,0,61,Gmean1 
10,0,55,Precision
19,0,386,Precision
8,0,42,Precision
0,0,41,Precision
5,0,24,Precision
0,0,12,Precision
3,0,15,Gmean1 
1,0,20,Precision
2,0,30,Gmean1 
4,1,646,Precision
0,0,23,Precision
1,0,68,Precision
4,0,287,Precision
10,0,106,Precision
0,0,16,Precision
3,0,246,Gmean1 
1,0,69,Gmean1 
1,0,48,Gmean1 
1,0,18,Gmean1 
2,0,5,Precision
1,0,22,Gmean1 
1,0,61,Precision
2,0,16,Precision
0,0,128,Gmes
5,0,168,Precision
0,0,44,Gmes
0,0,19,Gmes
1,0,17,Precision
1,0,174,Precision
3,0,32,Gmean1 
6,0,86,Precision
12,0,165,Precision
2,0,25,Accuracy
1,0,19,Precision
9,0,154,Precision
13,0,82,Precision
8,12,116,Precision
4,0,68,Precision
3,0,28,Gmean1 
4,0,89,Precision
4,0,47,Precision
10,0,65,Precision
3,0,25,Gmean1 
1,0,74,Precision
1,0,14,Gmean1 
20,0,478,Precision
1,0,11,Gmean1 
4,0,75,Precision
4,0,482,Precision
0,0,4,Accuracy
3,0,24,Gmean1 
0,0,40,Precision
7,0,35,Precision
0,0,18,Gmes
0,0,10,Precision
34,0,589,Precision
6,1,115,Precision
6,0,76,Precision
1,0,25,Precision
0,0,20,Precision
1,0,49,Precision
1,0,17,Precision
0,0,9,Precision
5,0,104,Precision
4,0,77,Precision
3,0,29,Precision
3,0,41,Precision
3,0,33,Precision
2,1,40,Precision
2,0,14,Gmean1 
1,0,13,Precision
5,0,162,Precision
3,0,7,Gmean1 
7,0,26,Precision
0,0,30,Gmes
8,0,120,Precision
0,0,16,Gmes
2,0,106,Precision
1,1,41,Precision
1,0,233,Precision
1,0,9,Gmean1 
1,1,7,Precision
2,0,97,Precision
0,0,21,Precision
0,0,54,Gmes
5,0,99,Precision
10,0,388,Precision
6,0,215,Precision
0,0,8,Precision
2,0,89,Precision
3,0,73,Precision
0,0,6,Precision
1,0,144,Precision
0,0,22,Precision
0,0,17,Precision
4,0,222,Precision
1,0,29,Gmean1 
4,0,71,Precision
3,0,79,Precision
10,0,99,Precision
5,0,51,Precision
10,0,125,Precision
4,0,17,Gmean1 
0,0,30,Precision
0,0,25,Gmean2
2,0,59,Precision
2,0,19,Precision
2,0,8,Precision
9,0,124,Precision
6,0,33,Precision
12,0,68,Precision
12,0,132,Precision
1,0,11,Precision
9,0,478,Precision
1,0,106,Precision
15,0,380,Precision
7,0,150,Precision
2,0,34,Precision
1,0,43,Gmean1 
1,0,21,Gmean1 
0,0,23,Precision
3,0,24,Precision
1,0,7,Precision
1,0,10,Precision
2,3,47,Precision
1,0,63,Gmean1 
9,1,99,Precision
11,2,187,Precision
1,0,18,Precision
2,0,28,Precision
0,0,78,Gmean2
0,0,23,Precision
1,0,64,Precision
1,0,22,Precision
2,0,116,Precision
0,0,15,Precision
1,0,27,Precision
2,0,5,Precision
7,0,42,Precision
6,0,19,Precision
3,0,30,Precision
8,0,44,Precision
2,0,72,Precision
4,0,121,Precision
2,1,79,Precision
1,0,15,Precision
1,0,14,Precision
2,0,32,Precision
1,0,8,Precision
2,0,71,Precision
2,0,38,Precision
1,0,41,Precision
3,0,24,Precision
7,0,72,Precision
3,2,114,Precision
0,0,10,Precision
0,0,13,Precision
1,0,40,Precision
0,0,58,Gmes
1,0,13,Precision
5,0,658,Precision
5,0,182,Precision
1,0,96,Precision
2,1,162,Precision
8,0,126,Precision
0,0,20,Precision
0,1,52,Gmean1 
3,0,31,Precision
5,0,17,Precision
12,0,116,Precision
18,0,321,Precision
4,0,191,Precision
2,0,28,Precision
6,0,44,Precision
5,0,42,Precision
16,1,134,Precision
9,0,43,Precision
